Vendor Name,Department,Last 12 Months Cost (USD),1-line Description,Suggestions
Uptime Robot Service Provider Ltd,SaaS,"$78",Website monitoring and uptime service,Optimize
Mithras Consultants,Professional Services,"$77",Business consulting services,Terminate
6Sense Insights Inc,Sales,"$76",B2B revenue intelligence and predictive analytics platform,Optimize
Ico,Legal,"$67",UK data protection registration authority,Optimize
Sportska Udruga Split,G&A,"$66",Sports association and recreation,Terminate
Prezzee,G&A,"$64",Digital gift card and rewards platform,Terminate
Inet Telecoms Ltd.,Engineering,"$63",Telecommunications services,Consolidate
Wolt Enterprises Oy,G&A,"$62",Food delivery services,Terminate
Platinum Office D.O.O.,G&A,"$62",Office supplies and services,Consolidate
Snappy Snaps,Marketing,"$59",Photography and printing services,Terminate
New Block D.O.O.,Professional Services,"$56",Business services in Croatia,Optimize
Cayman Islands Government,Legal,"$56",Government regulatory fees and compliance,Optimize
Officeworks,G&A,"$56",Office supplies and stationery retailer in Australia,Consolidate
Click Send Pty Ltd,SaaS,"$55",SMS and communication API services,Optimize
Kall Kwik Centre 565,G&A,"$55",Printing and copying services,Terminate
Shilton Hospitality Llp,G&A,"$55",Hospitality and catering services,Terminate
Axosoft Gitkraken,Engineering,"$54",Git client and version control tools,Optimize
Istra Wine,G&A,"$53",Wine and beverage services,Terminate
Gophr,G&A,"$52",Same-day courier and delivery services,Consolidate
Pan-Pek D.O.O.,G&A,"$50",Bakery and food services in Croatia,Terminate
Uber *Eats,G&A,"$50",Food delivery services,Terminate
Fedex Express Uk Transportation Ltd,G&A,"$47",Express shipping and courier services,Consolidate
Garden City D.O.O.,Professional Services,"$45",Business services in Croatia,Optimize
Livingstone,Professional Services,"$41",Business services and consulting,Optimize
Ekupi D.O.O.,G&A,"$40",E-commerce and retail services in Croatia,Optimize
Farmacia - Specijalizirana Prodavaonica D.O.O.,G&A,"$36",Pharmacy and health products in Croatia,Optimize
Cupcake Central (Life Is Sweet Bakery),G&A,"$35",Bakery and catering services,Terminate
Post Office Ltd,G&A,"$32",Postal and shipping services,Consolidate
Currys Pc World,Engineering,"$30",Electronics and computer equipment retailer,Consolidate
Brodomerkur D.D.,G&A,"$29",Industrial and office supplies in Croatia,Optimize
Sport Vision D.O.O.,G&A,"$26",Sports equipment and apparel retailer,Terminate
Harissa D.O.O.,G&A,"$21",Restaurant and food services,Terminate
Specijalisticka Ordinacija Medicine Rada I Sporta Ina Kardos,G&A,"$20",Occupational health services in Croatia,Consolidate
Specijalisticka Ordinacija Medicine Rada Helena Blazic,G&A,"$20",Occupational health services in Croatia,Consolidate
Ustanova Za Medicinu Rada I Sporta Dr. Novacki,G&A,"$20",Occupational health services in Croatia,Consolidate
M&S Simply Food,G&A,"$19",Food and refreshment services,Terminate
Bakemono Bakers Melbourne,G&A,"$18",Bakery and food services in Australia,Terminate
Coles,G&A,"$18",Grocery and office supplies retailer in Australia,Consolidate
